stis,e140h,ech,100	(1215.6,1221.0,0.0027,0.0027)
stis,e140h,ech,101	(1212.1,1217.5,0.0027,0.0027)
stis,e140h,ech,102	(1208.6,1214.0,0.0026,0.0027)
stis,e140h,ech,103	(1205.1,1210.5,0.0026,0.0026)
stis,e140h,ech,104	(1201.7,1207.1,0.0026,0.0027)
stis,e140h,ech,105	(1198.2,1203.6,0.0026,0.0026)
stis,e140h,ech,106	(1194.8,1200.2,0.0026,0.0026)
stis,e140h,ech,107	(1191.5,1196.8,0.0026,0.0026)
stis,e140h,ech,108	(1188.2,1193.5,0.0026,0.0026)
stis,e140h,ech,109	(1184.8,1190.2,0.0026,0.0026)
stis,e140h,ech,10	(1642.9,1650.3,0.0036,0.0036)
stis,e140h,ech,110	(1181.5,1186.7,0.0026,0.0026)
stis,e140h,ech,111	(1178.2,1183.4,0.0026,0.0026)
stis,e140h,ech,112	(1174.8,1180.2,0.0026,0.0026)
stis,e140h,ech,113	(1171.5,1176.9,0.0026,0.0026)
stis,e140h,ech,114	(1168.2,1173.6,0.0026,0.0026)
stis,e140h,ech,115	(1165.1,1170.3,0.0026,0.0026)
stis,e140h,ech,116	(1161.8,1167.2,0.0025,0.0026)
stis,e140h,ech,117	(1158.7,1164.0,0.0025,0.0026)
stis,e140h,ech,118	(1155.5,1160.7,0.0025,0.0026)
stis,e140h,ech,119	(1152.3,1157.5,0.0025,0.0025)
stis,e140h,ech,11	(1636.5,1643.9,0.0036,0.0036)
stis,e140h,ech,120	(1149.1,1154.3,0.0025,0.0026)
stis,e140h,ech,121	(1146.2,1151.4,0.0025,0.0025)
stis,e140h,ech,12	(1630.2,1637.5,0.0036,0.0036)
stis,e140h,ech,13	(1624.0,1631.2,0.0036,0.0036)
stis,e140h,ech,14	(1617.7,1624.9,0.0035,0.0036)
stis,e140h,ech,15	(1611.5,1618.7,0.0035,0.0035)
stis,e140h,ech,16	(1605.3,1612.5,0.0035,0.0036)
stis,e140h,ech,17	(1599.2,1606.4,0.0035,0.0036)
stis,e140h,ech,18	(1593.1,1600.3,0.0035,0.0035)
stis,e140h,ech,19	(1587.1,1594.3,0.0035,0.0035)
stis,e140h,ech,1	(1702.8,1710.4,0.0037,0.0038)
stis,e140h,ech,20	(1581.2,1588.3,0.0035,0.0035)
stis,e140h,ech,21	(1575.2,1582.4,0.0035,0.0034)
stis,e140h,ech,22	(1569.4,1576.4,0.0034,0.0035)
stis,e140h,ech,23	(1563.5,1570.6,0.0034,0.0035)
stis,e140h,ech,24	(1557.7,1564.7,0.0034,0.0035)
stis,e140h,ech,25	(1552.0,1559.0,0.0034,0.0034)
stis,e140h,ech,26	(1546.3,1553.2,0.0034,0.0034)
stis,e140h,ech,27	(1540.7,1547.5,0.0034,0.0033)
stis,e140h,ech,28	(1535.0,1541.9,0.0034,0.0033)
stis,e140h,ech,29	(1529.5,1536.4,0.0034,0.0033)
stis,e140h,ech,2	(1695.9,1703.5,0.0037,0.0037)
stis,e140h,ech,30	(1523.9,1530.7,0.0033,0.0034)
stis,e140h,ech,31	(1518.4,1525.2,0.0033,0.0034)
stis,e140h,ech,32	(1512.9,1519.7,0.0033,0.0034)
stis,e140h,ech,33	(1507.5,1514.3,0.0033,0.0033)
stis,e140h,ech,34	(1502.1,1508.9,0.0033,0.0033)
stis,e140h,ech,35	(1496.7,1503.5,0.0033,0.0033)
stis,e140h,ech,36	(1491.4,1498.2,0.0033,0.0033)
stis,e140h,ech,37	(1486.2,1493.0,0.0033,0.0032)
stis,e140h,ech,38	(1481.0,1487.7,0.0032,0.0033)
stis,e140h,ech,39	(1475.8,1482.4,0.0032,0.0032)
stis,e140h,ech,3	(1689.1,1696.7,0.0037,0.0037)
stis,e140h,ech,40	(1470.6,1477.2,0.0032,0.0033)
stis,e140h,ech,41	(1465.5,1472.1,0.0032,0.0032)
stis,e140h,ech,42	(1460.5,1467.0,0.0032,0.0032)
stis,e140h,ech,43	(1455.3,1461.9,0.0032,0.0033)
stis,e140h,ech,44	(1450.3,1456.9,0.0032,0.0032)
stis,e140h,ech,45	(1445.3,1451.9,0.0032,0.0032)
stis,e140h,ech,46	(1440.4,1446.8,0.0032,0.0031)
stis,e140h,ech,47	(1435.5,1442.0,0.0031,0.0031)
stis,e140h,ech,48	(1430.6,1437.0,0.0031,0.0031)
stis,e140h,ech,49	(1425.7,1432.1,0.0031,0.0031)
stis,e140h,ech,4	(1682.3,1689.9,0.0037,0.0037)
stis,e140h,ech,50	(1420.9,1427.3,0.0031,0.0031)
stis,e140h,ech,51	(1416.1,1422.5,0.0031,0.0031)
stis,e140h,ech,52	(1411.5,1417.8,0.0031,0.0031)
stis,e140h,ech,53	(1406.6,1413.0,0.0031,0.0031)
stis,e140h,ech,54	(1402.0,1408.3,0.0031,0.0031)
stis,e140h,ech,55	(1397.3,1403.6,0.0031,0.0031)
stis,e140h,ech,56	(1392.7,1398.9,0.0031,0.0031)
stis,e140h,ech,57	(1388.1,1394.3,0.0030,0.0031)
stis,e140h,ech,58	(1383.5,1389.7,0.0030,0.0031)
stis,e140h,ech,59	(1379.0,1385.2,0.0030,0.0030)
stis,e140h,ech,5	(1675.6,1683.2,0.0037,0.0037)
stis,e140h,ech,60	(1374.5,1380.7,0.0030,0.0030)
stis,e140h,ech,61	(1370.0,1376.2,0.0030,0.0030)
stis,e140h,ech,62	(1365.5,1371.7,0.0030,0.0030)
stis,e140h,ech,63	(1361.2,1367.2,0.0030,0.0030)
stis,e140h,ech,64	(1356.8,1362.9,0.0030,0.0030)
stis,e140h,ech,65	(1352.5,1358.5,0.0030,0.0029)
stis,e140h,ech,66	(1348.0,1354.1,0.0030,0.0030)
stis,e140h,ech,67	(1343.8,1349.9,0.0029,0.0030)
stis,e140h,ech,68	(1339.5,1345.5,0.0029,0.0030)
stis,e140h,ech,69	(1335.2,1341.2,0.0029,0.0030)
stis,e140h,ech,6	(1669.0,1676.5,0.0037,0.0037)
stis,e140h,ech,70	(1331.0,1337.0,0.0029,0.0029)
stis,e140h,ech,71	(1326.8,1332.8,0.0029,0.0030)
stis,e140h,ech,72	(1322.6,1328.6,0.0029,0.0030)
stis,e140h,ech,73	(1318.5,1324.4,0.0029,0.0029)
stis,e140h,ech,74	(1314.3,1320.3,0.0029,0.0029)
stis,e140h,ech,75	(1310.2,1316.1,0.0029,0.0029)
stis,e140h,ech,76	(1306.2,1312.0,0.0029,0.0028)
stis,e140h,ech,77	(1302.2,1308.0,0.0029,0.0029)
stis,e140h,ech,78	(1298.1,1303.9,0.0028,0.0028)
stis,e140h,ech,79	(1294.1,1299.9,0.0028,0.0028)
stis,e140h,ech,7	(1662.5,1669.9,0.0036,0.0036)
stis,e140h,ech,80	(1290.1,1295.9,0.0028,0.0029)
stis,e140h,ech,81	(1286.2,1292.0,0.0028,0.0028)
stis,e140h,ech,82	(1282.3,1288.0,0.0028,0.0029)
stis,e140h,ech,83	(1278.5,1284.1,0.0028,0.0028)
stis,e140h,ech,84	(1274.5,1280.2,0.0028,0.0028)
stis,e140h,ech,85	(1270.8,1276.5,0.0028,0.0028)
stis,e140h,ech,86	(1266.8,1272.6,0.0028,0.0028)
stis,e140h,ech,87	(1263.0,1268.7,0.0028,0.0028)
stis,e140h,ech,88	(1259.2,1264.9,0.0028,0.0027)
stis,e140h,ech,89	(1255.5,1261.1,0.0028,0.0028)
stis,e140h,ech,8	(1655.9,1663.3,0.0036,0.0037)
stis,e140h,ech,90	(1251.8,1257.5,0.0027,0.0028)
stis,e140h,ech,91	(1248.0,1253.6,0.0027,0.0028)
stis,e140h,ech,92	(1244.3,1249.9,0.0027,0.0028)
stis,e140h,ech,93	(1240.7,1246.3,0.0027,0.0027)
stis,e140h,ech,94	(1237.0,1242.6,0.0027,0.0027)
stis,e140h,ech,95	(1233.5,1239.0,0.0027,0.0027)
stis,e140h,ech,96	(1229.8,1235.4,0.0027,0.0027)
stis,e140h,ech,97	(1226.2,1231.7,0.0027,0.0027)
stis,e140h,ech,98	(1222.7,1228.2,0.0027,0.0027)
stis,e140h,ech,99	(1219.2,1224.7,0.0027,0.0027)
stis,e140h,ech,9	(1649.4,1656.8,0.0036,0.0036)
stis,e140h,scan,1	(1513.0,1710.5,0.0033,0.0037)
stis,e140h,scan,2	(1326.8,1525.2,0.0029,0.0034)
stis,e140h,scan,3	(1146.0,1337.0,0.0025,0.0029)
stis,e140m,ech,10	(1484.9,1510.5,0.0124,0.0126)
stis,e140m,ech,11	(1465.1,1490.3,0.0122,0.0124)
stis,e140m,ech,12	(1445.8,1470.7,0.0121,0.0123)
stis,e140m,ech,13	(1427.0,1451.6,0.0119,0.0121)
stis,e140m,ech,14	(1408.8,1433.1,0.0117,0.0119)
stis,e140m,ech,15	(1390.9,1414.9,0.0116,0.0118)
stis,e140m,ech,16	(1373.5,1397.2,0.0115,0.0116)
stis,e140m,ech,17	(1356.7,1380.0,0.0113,0.0115)
stis,e140m,ech,18	(1340.0,1363.1,0.0112,0.0114)
stis,e140m,ech,19	(1323.9,1346.7,0.0110,0.0113)
stis,e140m,ech,1	(1690.5,1719.7,0.0141,0.0143)
stis,e140m,ech,20	(1308.2,1330.7,0.0109,0.0111)
stis,e140m,ech,21	(1292.8,1315.1,0.0108,0.0110)
