# This spectrum is the thermal background flux of the telescope in the 
# infrared. The solid angle of the flux is a square arcsecond.
#
#   wavelength  flux
#--------------------------------
          8000. 3.461455000000E-6
          8100. 3.389542000000E-6
          8200. 3.319979000000E-6
          8300. 3.252661000000E-6
          8400. 3.187489000000E-6
          8500. 3.124372000000E-6
          8600. 3.063221000000E-6
          8700. 3.003953000000E-6
          8800. 2.946490000000E-6
          8900. 2.890757000000E-6
          9000. 2.836684000000E-6
          9100. 2.784202000000E-6
          9200. 2.733249000000E-6
          9300. 2.683765000000E-6
          9400. 2.635692000000E-6
          9500. 2.588975000000E-6
          9600. 2.543562000000E-6
          9700. 2.499404000000E-6
          9800. 2.456454000000E-6
          9900. 2.414667000000E-6
         10000. 2.374000000000E-6
         10100. 2.334412000000E-6
         10200. 2.295865000000E-6
         10300. 2.258322000000E-6
         10400. 2.221746000000E-6
         10500. 2.186104000000E-6
         10600. 2.151364000000E-6
         10700. 2.117494000000E-6
         10800. 2.084465000000E-6
         10900. 2.052248000000E-6
         11000. 2.020818000000E-6
         11100. 1.990146000000E-6
         11200. 1.960209000000E-6
         11300. 1.930982000000E-6
         11400. 1.902443000000E-6
         11500. 1.874570000000E-6
         11600. 1.847342000000E-6
         11700. 1.820738000000E-6
         11800. 1.794739000000E-6
         11900. 1.769326000000E-6
         12000. 1.744483000000E-6
         12100. 1.720191000000E-6
         12200. 1.696435000000E-6
         12300. 1.673199000000E-6
         12400. 1.650469000000E-6
         12500. 1.628230000000E-6
         12600. 1.606469000000E-6
         12700. 1.585175000000E-6
         12800. 1.564335000000E-6
         12900. 1.543940000000E-6
         13000. 1.523980000000E-6
         13100. 1.504448000000E-6
         13200. 1.485336000000E-6
         13300. 1.466642000000E-6
         13400. 1.448362000000E-6
         13500. 1.430496000000E-6
         13600. 1.413047000000E-6
         13700. 1.396022000000E-6
         13800. 1.379431000000E-6
         13900. 1.363289000000E-6
         14000. 1.347618000000E-6
         14100. 1.332447000000E-6
         14200. 1.317812000000E-6
         14300. 1.303762000000E-6
         14400. 1.290354000000E-6
         14500. 1.277664000000E-6
         14600. 1.265781000000E-6
         14700. 1.254816000000E-6
         14800. 1.244903000000E-6
         14900. 1.236205000000E-6
         15000. 1.228915000000E-6
         15100. 1.223268000000E-6
         15200. 1.219539000000E-6
         15300. 1.218057000000E-6
         15400. 1.219212000000E-6
         15500. 1.223462000000E-6
         15600. 1.231346000000E-6
         15700. 1.243495000000E-6
         15800. 1.260646000000E-6
         15900. 1.283661000000E-6
         16000. 1.313537000000E-6
         16100. 1.351435000000E-6
         16200. 1.398693000000E-6
         16300. 1.456861000000E-6
         16400. 1.527718000000E-6
         16500. 1.613313000000E-6
         16600. 1.715989000000E-6
         16700. 1.838430000000E-6
         16800. 1.983699000000E-6
         16900. 2.155291000000E-6
         17000. 2.357161000000E-6
         17100. 2.593828000000E-6
         17200. 2.870376000000E-6
         17300. 3.192577000000E-6
         17400. 3.566932000000E-6
         17500. 4.000763000000E-6
         17600. 4.502323000000E-6
         17700. 5.080839000000E-6
         17800. 5.746680000000E-6
         17900. 6.511434000000E-6
         18000. 7.388059000000E-6
         18100. 8.390972000000E-6
         18200. 9.536253000000E-6
         18300. 1.084174000000E-5
         18400. 1.232725000000E-5
         18500. 1.401478000000E-5
         18600. 1.592864000000E-5
         18700. 1.809565000000E-5
         18800. 2.054552000000E-5
         18900. 2.331079000000E-5
         19000. 2.642750000000E-5
         19100. 2.993506000000E-5
         19200. 3.387689000000E-5
         19300. 3.830035000000E-5
         19400. 4.325768000000E-5
         19500. 4.880533000000E-5
         19600. 5.500576000000E-5
         19700. 6.192608000000E-5
         19800. 6.964068000000E-5
         19900. 7.822899000000E-5
         20000. 8.777879000000E-5
         20100. 9.838444000000E-5
         20200. 1.101483000000E-4
         20300. 1.231814000000E-4
         20400. 1.376037000000E-4
         20500. 1.535456000000E-4
         20600. 1.711465000000E-4
         20700. 1.905579000000E-4
         20800. 2.119421000000E-4
         20900. 2.354756000000E-4
         21000. 2.613450000000E-4
         21100. 2.897530000000E-4
         21200. 3.209178000000E-4
         21300. 3.550700000000E-4
         21400. 3.924617000000E-4
         21500. 4.333562000000E-4
         21600. 4.780404000000E-4
         21700. 5.268189000000E-4
         21800. 5.800148000000E-4
         21900. 6.379772000000E-4
         22000. 7.010704000000E-4
         22100. 7.696933000000E-4
         22200. 8.442578000000E-4
         22300. 9.252119000000E-4
         22400.       0.001013024
         22500.       0.001108197
         22600.       0.001211261
         22700.       0.001322772
         22800.       0.001443333
         22900.        0.00157356
         23000.        0.00171413
         23100.       0.001865732
         23200.       0.002029126
         23300.       0.002205072
         23400.       0.002394405
         23500.       0.002597993
         23600.       0.002816732
         23700.       0.003051602
         23800.       0.003303604
         23900.       0.003573785
         24000.       0.003863269
         24100.       0.004173224
         24200.       0.004504873
         24300.       0.004859478
         24400.       0.005238398
         24500.       0.005643016
         24600.       0.006074834
         24700.       0.006535346
         24800.       0.007026199
         24900.       0.007549002
         25000.       0.008105572
