# Solar spectrum from 1993 Kurucz models
# Teff =   5777.000     log g =   4.437700     log z =  0.0000000E+00
#
# B = -26.09 mag    V = -26.76 mag   B-V = +0.67  
# (measured from spectrum, assuming 4270 Jy for B=0 and 3670 Jy for V=0)
#
#  Table solar.dat  Fri 09:01:05 08-Sep-95
#
#K GRFTABLE crcomp$hstgraph_950809a.tab
#K CMPTABLE crcomp$hstcomp_950809a.tab
#K EXPR     crgrid$k93models/standards/sun
#
#      WAVELENGTH            FLUX
#       angstroms         photlam

            1185.          71695.
            1195.        64273.06
            1205.        73318.85
            1215.        28731.08
            1225.        102779.4
            1235.        189947.7
            1245.        257957.6
            1255.        311571.5
            1265.        344582.3
            1275.        428645.5
            1285.        492009.8
            1295.        605175.8
            1305.        645707.7
            1315.        810548.8
            1325.        867754.9
            1335.        997069.4
            1345.        1181166.
            1355.        1385236.
            1365.        1525209.
            1375.        1707926.
            1385.        1947993.
            1395.        2220311.
            1405.        2686779.
            1415.        3129278.
            1425.        3649737.
            1435.        4342299.
            1442.        5435970.
            1447.        5169249.
            1455.        6009198.
            1465.        7544564.
            1475.        8726825.
            1485.        9669535.
            1495.       12219620.
            1505.       14751365.
            1512.       12471814.
            1517.       15082503.
            1525.       34365204.
            1535.       55085532.
            1545.       48052268.
            1555.       76482664.
            1565.       73664784.
            1575.      131178752.
            1585.      160162624.
            1595.      183545824.
            1605.      201663120.
            1615.      222756112.
            1625.      252860288.
            1635.      293818624.
            1645.      408091840.
            1655.      278040128.
            1665.      478606144.
            1672.      357187936.
            1677.      1.251265E9
            1685.      1.417192E9
            1695.      1.740297E9
            1705.      1.913642E9
            1715.      1.922422E9
            1725.      2.418425E9
            1735.      2.893049E9
            1745.      3.830589E9
            1755.      5.240673E9
            1765.      4.896080E9
            1775.      5.439710E9
            1785.      7.093499E9
            1795.      8.580445E9
            1805.      8.989332E9
            1815.      8.574325E9
            1825.     1.065603E10
            1835.     1.138023E10
            1845.      8.789992E9
            1855.     1.271360E10
            1865.     1.518077E10
            1875.     1.667542E10
            1885.     1.796519E10
            1895.     2.291148E10
            1905.     2.260805E10
            1915.     2.514155E10
            1925.     2.536279E10
            1935.     1.831559E10
            1945.     3.308803E10
            1955.     3.478120E10
            1967.     4.486355E10
            1976.     4.255691E10
            1984.     5.075644E10
            1995.     5.366789E10
            2005.     5.300918E10
            2015.     5.866609E10
            2025.     4.853482E10
            2035.     6.682977E10
            2045.     7.703513E10
            2055.     7.978238E10
            2065.     8.074178E10
            2074.     8.704945E10
            2078.     3.024728E11
            2085.     4.133421E11
            2095.     3.850352E11
            2105.     3.855072E11
            2115.     4.725361E11
            2125.     4.106420E11
            2135.     4.191587E11
            2145.     5.786055E11
            2155.     5.390243E11
            2165.     4.438384E11
            2175.     4.400047E11
            2185.     6.715086E11
            2195.     6.214536E11
            2205.     6.239968E11
            2215.     4.499795E11
            2225.     6.212657E11
            2235.     9.056804E11
            2245.     8.643641E11
            2255.     6.102701E11
            2265.     5.094575E11
            2275.     5.496021E11
            2285.     9.331808E11
            2295.     6.993848E11
            2305.     9.595254E11
            2315.     7.604390E11
            2325.     6.321683E11
            2335.     5.436893E11
            2345.     3.367748E11
            2355.     7.588003E11
            2365.     3.993271E11
            2375.     5.489815E11
            2385.     3.043459E11
            2395.     4.069224E11
            2405.     4.187142E11
            2415.     5.039222E11
            2425.     1.038762E12
            2435.     1.046751E12
            2445.     1.303302E12
            2455.     1.450316E12
            2465.     1.129582E12
            2475.     9.590977E11
            2485.     3.947452E11
            2495.     6.392910E11
            2505.     1.102138E12
            2513.     4.000496E11
            2518.     2.848307E11
            2525.     3.401274E11
            2535.     7.955359E11
            2545.     8.250878E11
            2555.     2.013558E12
            2565.     1.358577E12
            2575.     1.946268E12
            2585.     1.649572E12
            2595.     1.424985E12
            2605.     1.142762E12
            2615.     1.020379E12
            2625.     1.495316E12
            2635.     3.168620E12
            2645.     4.519241E12
            2655.     6.641548E12
            2665.     3.972563E12
            2675.     4.602523E12
            2685.     5.633080E12
            2695.     3.894833E12
            2705.     4.833281E12
            2715.     3.269990E12
            2725.     2.238926E12
            2735.     3.141618E12
            2745.     1.603219E12
            2755.     2.427314E12
            2765.     3.442898E12
            2775.     3.485815E12
            2785.     1.842993E12
            2795.     7.548268E11
            2805.     9.495795E11
            2815.     2.988028E12
            2825.     4.813964E12
            2835.     4.475688E12
            2845.     2.590760E12
            2855.     1.230226E12
            2865.     4.260186E12
            2875.     6.923459E12
            2885.     5.948013E12
            2895.     7.957075E12
            2910.     1.058564E13
            2930.     9.219436E12
            2950.     8.497089E12
            2970.     8.897074E12
            2990.     9.151535E12
            3010.     9.158506E12
            3030.     9.945174E12
            3050.     1.051386E13
            3070.     1.138200E13
            3090.     1.077828E13
            3110.     1.253980E13
            3130.     1.191843E13
            3150.     1.139057E13
            3170.     1.252647E13
            3190.     1.105858E13
            3210.     1.247562E13
            3230.     1.049882E13
            3250.     1.463861E13
            3270.     1.720909E13
            3290.     1.653428E13
            3310.     1.585771E13
            3330.     1.635416E13
            3350.     1.599921E13
            3370.     1.211888E13
            3390.     1.413457E13
            3410.     1.437910E13
            3430.     1.502049E13
            3450.     1.590549E13
            3470.     1.679095E13
            3490.     1.857308E13
            3510.     1.951745E13
            3530.     1.809168E13
            3550.     2.070822E13
            3570.     1.523518E13
            3590.     1.506112E13
            3610.     1.835936E13
            3630.     1.864495E13
            3640.     1.925457E13
            3650.     2.173222E13
            3670.     2.267412E13
            3690.     2.086033E13
            3710.     2.234777E13
            3730.     1.646132E13
            3750.     1.867444E13
            3770.     2.288603E13
            3790.     2.370754E13
            3810.     2.314029E13
            3830.     1.311416E13
            3850.     1.918203E13
            3870.     1.854512E13
            3890.     2.205552E13
            3910.     2.596989E13
            3930.     1.331421E13
            3950.     2.278985E13
            3970.     1.593353E13
            3990.     3.171761E13
            4010.     3.390257E13
            4030.     3.439233E13
            4050.     3.325556E13
            4070.     3.214913E13
            4090.     3.697197E13
            4110.     3.602102E13
            4130.     3.660594E13
            4150.     3.677374E13
            4170.     3.739669E13
            4190.     3.564187E13
            4210.     3.624672E13
            4230.     3.486426E13
            4250.     3.527198E13
            4270.     3.307356E13
            4290.     3.098558E13
            4310.     2.566737E13
            4330.     3.712589E13
            4350.     3.580677E13
            4370.     3.958151E13
            4390.     3.631177E13
            4410.     3.910056E13
            4430.     4.196238E13
            4450.     4.175626E13
            4470.     4.398461E13
            4490.     4.449720E13
            4510.     4.870783E13
            4530.     4.470598E13
            4550.     4.629306E13
            4570.     4.894950E13
            4590.     4.660061E13
            4610.     4.766997E13
            4630.     4.712360E13
            4650.     4.779398E13
            4670.     4.910027E13
            4690.     4.838325E13
            4710.     4.720169E13
            4730.     4.932010E13
            4750.     5.022291E13
            4770.     5.050372E13
            4790.     5.044368E13
            4810.     5.000521E13
            4830.     5.100328E13
            4850.     4.810743E13
            4870.     4.310118E13
            4890.     4.893195E13
            4910.     4.923842E13
            4930.     4.841920E13
            4950.     5.045098E13
            4970.     5.106397E13
            4990.     4.824338E13
            5010.     4.656861E13
            5030.     4.913037E13
            5050.     4.930889E13
            5070.     5.131741E13
            5090.     4.977301E13
            5110.     5.061046E13
            5130.     4.966658E13
            5150.     4.825180E13
            5170.     4.403252E13
            5190.     4.486493E13
            5210.     4.900873E13
            5230.     4.966662E13
            5250.     5.141961E13
            5270.     4.620593E13
            5290.     5.130472E13
            5310.     5.301086E13
            5330.     4.852993E13
            5350.     5.196694E13
            5370.     5.171989E13
            5390.     5.142821E13
            5410.     5.004457E13
            5430.     5.145305E13
            5450.     5.266967E13
            5470.     5.201634E13
            5490.     5.237789E13
            5510.     5.218181E13
            5530.     5.254462E13
            5550.     5.316219E13
            5570.     5.203242E13
            5590.     5.133736E13
            5610.     5.280068E13
            5630.     5.297184E13
            5650.     5.322605E13
            5670.     5.223180E13
            5690.     5.306614E13
            5710.     5.235259E13
            5730.     5.515504E13
            5750.     5.368104E13
            5770.     5.424126E13
            5790.     5.319889E13
            5810.     5.422249E13
            5830.     5.498137E13
            5850.     5.406997E13
            5870.     5.424239E13
            5890.     5.122311E13
            5910.     5.394333E13
            5930.     5.399052E13
            5950.     5.418020E13
            5970.     5.438168E13
            5990.     5.398355E13
            6010.     5.337429E13
            6030.     5.378543E13
            6050.     5.465182E13
            6070.     5.442982E13
            6090.     5.334786E13
            6110.     5.316853E13
            6130.     5.153794E13
            6150.     5.231679E13
            6170.     5.110136E13
            6190.     5.337066E13
            6210.     5.348961E13
            6230.     5.237108E13
            6250.     5.121570E13
            6270.     5.313947E13
            6290.     5.333726E13
            6310.     5.216378E13
            6330.     5.247819E13
            6350.     5.266134E13
            6370.     5.253015E13
            6390.     5.292525E13
            6410.     5.185846E13
            6430.     5.243642E13
            6450.     5.206509E13
            6470.     5.182039E13
            6490.     5.137038E13
            6510.     5.229080E13
            6530.     5.217340E13
            6550.     4.999172E13
         6561.248     4.391419E13
            6590.     5.120877E13
            6610.     5.230020E13
            6630.     5.205080E13
            6650.     5.205289E13
            6670.     5.158171E13
            6690.     5.232395E13
            6710.     5.140697E13
            6730.     5.202212E13
            6750.     5.164480E13
            6770.     5.173415E13
            6790.     5.148201E13
            6810.     5.133986E13
            6830.     5.161805E13
            6850.     5.067752E13
            6870.     5.121414E13
            6890.     5.133714E13
            6910.     5.103351E13
            6930.     5.097686E13
            6950.     5.087800E13
            6970.     5.085862E13
            6990.     5.080766E13
            7010.     4.958876E13
            7030.     5.028617E13
            7050.     5.049170E13
            7070.     5.013288E13
            7090.     4.997467E13
            7110.     5.011064E13
            7130.     4.956650E13
            7150.     4.934460E13
            7170.     4.936785E13
            7190.     4.832504E13
            7210.     4.918790E13
            7230.     4.919718E13
            7250.     4.942948E13
            7270.     4.931100E13
            7290.     4.819877E13
            7310.     4.885980E13
            7330.     4.881216E13
            7350.     4.894072E13
            7370.     4.899448E13
            7390.     4.797593E13
            7410.     4.706203E13
            7430.     4.802316E13
            7450.     4.813007E13
            7470.     4.844850E13
            7490.     4.806923E13
            7510.     4.811558E13
            7530.     4.820148E13
            7550.     4.835597E13
            7570.     4.795870E13
            7590.     4.782151E13
            7610.     4.771202E13
            7630.     4.784357E13
            7650.     4.774318E13
            7670.     4.664679E13
            7690.     4.751672E13
            7710.     4.703781E13
            7730.     4.711632E13
            7750.     4.667586E13
            7770.     4.712733E13
            7790.     4.720922E13
            7810.     4.699161E13
            7830.     4.663410E13
